model,split_no,rmse
xgb,1,0.49639725671203055
xgb,2,0.46021351644679187
xgb,3,0.5000453637422075
xgb,4,0.5196166196083047
xgb,5,0.47663938027731484
cat,1,0.4984086142873537
cat,2,0.4640312442878544
cat,3,0.4979851421483204
cat,4,0.5166547353301447
cat,5,0.4727031511423114
lgb,1,0.49885527235924304
lgb,2,0.4587563850678719
lgb,3,0.4980466850706125
lgb,4,0.5187744554539968
lgb,5,0.4711274288043919
