model,resample_no,rmse
xgb,118,0.510328874449795
xgb,119,0.49131204876336526
xgb,120,0.4787018067250274
xgb,121,0.49526362405030844
xgb,122,0.49134937287708896
xgb,123,0.4794314281310628
xgb,124,0.49844825381749247
xgb,125,0.4786644826113037
xgb,126,0.4826160578982468
xgb,127,0.48527215225723647
xgb,128,0.5031926693956679
xgb,129,0.49317530283112276
xgb,130,0.4978191754103777
xgb,131,0.4939049242371582
xgb,132,0.47006903474510564
xgb,133,0.49844825381749247
xgb,134,0.5064146232765756
xgb,135,0.4945972215294699
xgb,136,0.497781851296654
xgb,137,0.4747502314380842
xgb,138,0.4970895540043423
xgb,139,0.4740206100320489
xgb,140,0.49526362405030844
xgb,141,0.4833830034180059
xgb,142,0.47933088513214217
xgb,143,0.49536416704922903
xgb,144,0.49449667853054935
xgb,145,0.48989013006501825
xgb,146,0.4905824273573298
xgb,147,0.47933088513214217
xgb,148,0.5031926693956679
xgb,149,0.47073543726594425
xgb,150,0.49453400264427305
xgb,151,0.49058242735732993
xgb,152,0.5017334265835971
xgb,153,0.4872972545912253
xgb,154,0.5063772991628519
xgb,155,0.47073543726594425
xgb,156,0.49058242735732993
xgb,157,0.4826533820119705
xgb,158,0.4747502314380842
xgb,159,0.498548796816413
xgb,160,0.5110211717421067
xgb,161,0.4720941370790944
xgb,162,0.4833456793042822
xgb,163,0.48132057697029335
xgb,164,0.497781851296654
xgb,165,0.5031926693956679
xgb,166,0.49058242735732993
xgb,167,0.510328874449795
xgb,168,0.47146505867197963
xgb,169,0.49058242735732993
xgb,170,0.49131204876336526
xgb,171,0.49453400264427305
xgb,172,0.4819869794911319
xgb,173,0.4833830034180059
xgb,174,0.5025003721033562
xgb,175,0.5025003721033563
xgb,176,0.49313797871739906
xgb,177,0.49522629993658474
xgb,178,0.4938676001234345
xgb,179,0.5024630479896326
xgb,180,0.4819869794911319
xgb,181,0.49453400264427305
xgb,182,0.4912115057644447
xgb,183,0.5017334265835971
xgb,184,0.49058242735732993
xgb,185,0.489186403430456
xgb,186,0.49061975147105363
xgb,187,0.4952262999365848
xgb,188,0.4938676001234345
xgb,189,0.4865676331851899
xgb,190,0.49134937287708896
xgb,191,0.4700690347451057
xgb,192,0.4985487968164131
xgb,193,0.4873977975901459
xgb,194,0.48663085207038675
xgb,195,0.4780354042041887
xgb,196,0.4938302760097108
xgb,197,0.48527215225723647
xgb,198,0.4931379787173992
xgb,199,0.4794314281310627
xgb,200,0.47073543726594425
cat,1,0.4880417346015301
cat,2,0.4849001792379951
cat,3,0.4885494034465534
cat,4,0.4916909588100883
cat,5,0.4899565774391969
cat,6,0.4883068904961122
cat,7,0.4742907866017304
cat,8,0.4761098624004284
cat,9,0.4936058016477551
cat,10,0.4811662606016302
cat,11,0.4950129756403987
cat,12,0.48630735323063873
cat,13,0.5056223682766635
cat,14,0.4918714202768637
cat,15,0.4936904960755618
cat,16,0.49874689427676355
cat,17,0.48457297185974735
cat,18,0.509186898057415
cat,19,0.4811662606016303
cat,20,0.5003965812198483
cat,21,0.500481275647655
cat,22,0.4899565774391969
cat,23,0.49509767006820543
cat,24,0.5093562869130284
cat,25,0.4760251679726218
cat,26,0.4899565774391969
cat,27,0.4987468942767636
cat,28,0.4829006419725216
cat,29,0.4868150220756619
cat,30,0.48813750164049885
cat,31,0.4936904960755618
cat,32,0.4879570401737235
cat,33,0.4950129756403987
cat,34,0.4899565774391969
cat,35,0.4898718830113903
cat,36,0.49177565323789496
cat,37,0.49369049607556176
cat,38,0.484657666287554
cat,39,0.5056223682766635
cat,40,0.4795165736585455
cat,41,0.4967473570112902
cat,42,0.4868150220756619
cat,43,0.4914484458596472
cat,44,0.48316579786710373
cat,45,0.4969167458669035
cat,46,0.4950129756403988
cat,47,0.4848154848101885
cat,48,0.4981545310039338
cat,49,0.4988315887045703
cat,50,0.4742907866017304
cat,51,0.4849001792379951
cat,52,0.498662199848957
cat,53,0.4953401830186466
cat,54,0.486222658802832
cat,55,0.5092715924852217
cat,56,0.4862226588028321
cat,57,0.4745559424963125
cat,58,0.47090671828775427
cat,59,0.4898718830113903
cat,60,0.4797590866089866
cat,61,0.498662199848957
cat,62,0.4982392254317404
cat,63,0.4880417346015301
cat,64,0.48316579786710373
cat,65,0.49542487744645314
cat,66,0.5019731440681052
cat,67,0.4969167458669035
cat,68,0.4988315887045703
cat,69,0.4936058016477551
cat,70,0.4913637514318405
cat,71,0.4950129756403987
cat,72,0.48508064070477064
cat,73,0.4900412718670036
cat,74,0.4899565774391969
cat,75,0.47943187923073893
cat,76,0.4898718830113903
cat,77,0.4982392254317404
cat,78,0.5003965812198483
cat,79,0.5018884496402987
cat,80,0.4919561147046704
cat,81,0.48457297185974735
cat,82,0.4899565774391969
cat,83,0.49004127186700364
cat,84,0.4776974978598475
cat,85,0.4760251679726218
cat,86,0.4950976700682054
cat,87,0.4882221960683055
cat,88,0.4760251679726218
cat,89,0.4776128034320409
cat,90,0.48787234574591676
cat,91,0.484657666287554
cat,92,0.5129208166937798
cat,93,0.5003965812198483
cat,94,0.4742907866017304
cat,95,0.4950129756403988
cat,96,0.4918714202768637
cat,97,0.4983239198595471
cat,98,0.49177565323789507
cat,99,0.4848154848101885
cat,100,0.498069836576127
cat,101,0.4761098624004284
cat,102,0.4950129756403987
cat,103,0.498662199848957
cat,104,0.5041304998562132
cat,105,0.4936058016477551
cat,106,0.48813750164049885
cat,107,0.4810815661738236
cat,108,0.4982392254317404
cat,109,0.49683205143909676
cat,110,0.4969167458669035
cat,111,0.4830811034392971
cat,112,0.4797590866089866
cat,113,0.4899565774391969
cat,114,0.4880417346015301
cat,115,0.4900412718670036
cat,116,0.4950129756403987
cat,117,0.498069836576127
cat,118,0.48630735323063873
cat,119,0.5092715924852217
cat,120,0.4919561147046704
cat,121,0.48125095502943693
cat,122,0.504130499856213
cat,123,0.49733972028412
cat,124,0.4878723457459168
cat,125,0.5024808129131284
cat,126,0.5017190607846853
cat,127,0.5056223682766634
cat,128,0.48316579786710373
cat,129,0.5020578384959119
cat,130,0.48316579786710373
cat,131,0.47934718480293215
cat,132,0.4848154848101885
cat,133,0.498662199848957
cat,134,0.49004127186700364
cat,135,0.4967473570112901
cat,136,0.4913637514318405
cat,137,0.4987468942767636
cat,138,0.4936058016477552
cat,139,0.5023961184853218
cat,140,0.4742907866017304
cat,141,0.4950129756403988
cat,142,0.4931828272305386
cat,143,0.4936058016477551
cat,144,0.48457297185974735
cat,145,0.5055376738488568
cat,146,0.4813467220684057
cat,147,0.47943187923073893
cat,148,0.49195611470467043
cat,149,0.4879570401737235
cat,150,0.474375481029537
cat,151,0.47943187923073893
cat,152,0.5055376738488568
cat,153,0.48813750164049885
cat,154,0.47096876977142
cat,155,0.4899565774391969
cat,156,0.49318282723053863
cat,157,0.4899565774391969
cat,158,0.5057070627044702
cat,159,0.4811662606016303
cat,160,0.48613796437502543
cat,161,0.4936058016477551
cat,162,0.49509767006820543
cat,163,0.5018884496402987
cat,164,0.4916909588100883
cat,165,0.5041304998562132
cat,166,0.4848154848101885
cat,167,0.474375481029537
cat,168,0.49534018301864646
cat,169,0.4844882774319407
cat,170,0.4780247052380953
cat,171,0.48316579786710373
cat,172,0.4885494034465533
cat,173,0.49160626438228167
cat,174,0.49369049607556176
cat,175,0.49733972028412
cat,176,0.4899565774391969
cat,177,0.4883068904961122
cat,178,0.48654986618107987
cat,179,0.4760251679726218
cat,180,0.4849001792379951
cat,181,0.4900412718670036
cat,182,0.48457297185974735
cat,183,0.4848154848101885
cat,184,0.4913637514318405
cat,185,0.4811662606016302
cat,186,0.49542487744645325
cat,187,0.4914484458596472
cat,188,0.49534018301864646
cat,189,0.4797590866089866
cat,190,0.5019731440681052
cat,191,0.4848154848101885
cat,192,0.4988315887045703
cat,193,0.500481275647655
